,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.025, 0.05)","(0.025, 0.05)","(0.0125, 0.025)"
recall,"(0.0, 0.0)","(0.004, 0.008)","(0.002, 0.004)","(0.0023809523809523807, 0.0047619047619047615)"
f1,"(0.0, 0.0)","(0.006896551724137933, 0.013793103448275865)","(0.0037037037037037034, 0.007407407407407407)","(0.004, 0.008)"
ndcg,"(0.0, 0.0)","(0.021135675325987136, 0.042271350651974265)","(0.021135675325987136, 0.042271350651974265)","(0.009468224547319902, 0.018936449094639804)"
