,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132713)","(0.008, 0.0074833147735478825)","(0.006, 0.0037416573867739412)","(0.004651162790697674, 0.009302325581395349)"
recall,"(0.05, 0.06123724356957946)","(0.09722222222222222, 0.09296222517045286)","(0.14444444444444443, 0.09525793444156803)","(0.025, 0.05)"
f1,"(0.013793103448275865, 0.016893032708849506)","(0.014780835881753312, 0.01384907282884713)","(0.011520058888479942, 0.00720044688462388)","(0.007843137254901962, 0.015686274509803925)"
ndcg,"(0.02582631772153443, 0.03400732836899055)","(0.0413778476939753, 0.04604566687965866)","(0.05486777638862792, 0.04338270213492066)","(0.016862846851177143, 0.03372569370235428)"
