,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.009797958971132711)","(0.012, 0.0116619037896906)","(0.013999999999999999, 0.0058309518948453)","(0.010396039603960395, 0.001852305637016803)"
recall,"(0.009463653519237667, 0.007769126661959028)","(0.0185093342067094, 0.017558306592151393)","(0.04299998256917515, 0.016414099684495455)","(0.06563469761647231, 0.009851516527287062)"
f1,"(0.010570782984576088, 0.008645216533082695)","(0.014550980393947501, 0.014012201933929392)","(0.02111246957140165, 0.008620828688529184)","(0.017940844518227507, 0.003112143901972523)"
ndcg,"(0.01179159029353142, 0.010072024497090905)","(0.01374567531194667, 0.012093422693397133)","(0.025959898736620763, 0.009172063300034453)","(0.03542289510361031, 0.008380472498946953)"
