,Top 50,Top 100,Top 200,Top N
precision,"(0.016, 0.014966629547095765)","(0.016, 0.008)","(0.013000000000000001, 0.005099019513592784)","(0.013496932515337425, 0.006011017773701052)"
recall,"(0.024822825024437927, 0.022844590596213032)","(0.05022605083088953, 0.02590268599504954)","(0.08148826979472142, 0.03281454208261549)","(0.0687866568914956, 0.030704638136009176)"
f1,"(0.019454874602293545, 0.018081092967829483)","(0.024266252028405502, 0.01222085985284775)","(0.0224214491048885, 0.008824021117744996)","(0.022564426246311373, 0.010049948501041532)"
ndcg,"(0.017409047517858798, 0.017469153746035318)","(0.03128377845240283, 0.015558077860290181)","(0.04561978444406734, 0.018659473426090086)","(0.04010021250646294, 0.018791273528714725)"
