,Top 50,Top 100,Top 200,Top N
precision,"(0.05714285714285714, 0.11428571428571428)","(0.08571428571428572, 0.17142857142857143)","(0.08571428571428572, 0.17142857142857143)","(0.0, 0.0)"
recall,"(0.008, 0.016)","(0.006, 0.012)","(0.003, 0.006)","(0.0, 0.0)"
f1,"(0.014035087719298248, 0.028070175438596495)","(0.011214953271028037, 0.022429906542056073)","(0.0057971014492753615, 0.011594202898550723)","(0.0, 0.0)"
ndcg,"(0.053010620258600614, 0.10602124051720123)","(0.07668717884967319, 0.15337435769934638)","(0.07668717884967319, 0.15337435769934638)","(0.0, 0.0)"
