,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.009797958971132713)","(0.01, 0.00894427190999916)","(0.009, 0.008)","(0.009375, 0.007654655446197432)"
recall,"(0.023384615384615386, 0.019101720855592315)","(0.03907692307692308, 0.03510390325403486)","(0.07015384615384615, 0.06225429810973773)","(0.04676923076923077, 0.03820344171118463)"
f1,"(0.015859649122807018, 0.012949983095470678)","(0.015923809523809528, 0.01425429490204433)","(0.015952802359882008, 0.01417705866667285)","(0.015618368559545032, 0.012752495193343809)"
ndcg,"(0.029168587313516424, 0.02809152793074018)","(0.03680865780624795, 0.03543773100721638)","(0.05042795665687354, 0.04543954766721155)","(0.04037940137602386, 0.03624952899745997)"
