,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.004, 0.004898979485566356)","(0.004, 0.0037416573867739412)","(0.005333333333333334, 0.0065319726474218085)"
recall,"(0.015384615384615385, 0.03076923076923077)","(0.028717948717948714, 0.03532138534917449)","(0.055384615384615386, 0.05060060054787286)","(0.028717948717948714, 0.03532138534917449)"
f1,"(0.00634920634920635, 0.0126984126984127)","(0.007018083878414775, 0.00859591337375972)","(0.007459329621137678, 0.006965977927104262)","(0.00898989898989899, 0.011011490969625571)"
ndcg,"(0.006455865087040835, 0.01291173017408167)","(0.012357909821586206, 0.015160596795468863)","(0.02240248768093698, 0.01962544006949916)","(0.012357909821586206, 0.015160596795468863)"
