,Top 50,Top 100,Top 200,Top N
precision,"(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0018181818181818182, 0.0036363636363636364)"
f1,"(0.0058823529411764705, 0.011764705882352941)","(0.003389830508474577, 0.006779661016949154)","(0.001834862385321101, 0.0036697247706422025)","(0.003125, 0.00625)"
ndcg,"(0.0060829045150611934, 0.012165809030122387)","(0.0060829045150611934, 0.012165809030122387)","(0.0060829045150611934, 0.012165809030122387)","(0.0060829045150611934, 0.012165809030122387)"
