,Top 50,Top 100,Top 200,Top N
precision,"(0.02222222222222222, 0.04444444444444444)","(0.06666666666666667, 0.13333333333333333)","(0.06666666666666667, 0.13333333333333333)","(0.02222222222222222, 0.04444444444444444)"
recall,"(0.004, 0.008)","(0.006, 0.012)","(0.003, 0.006)","(0.00425531914893617, 0.00851063829787234)"
f1,"(0.006779661016949154, 0.013559322033898308)","(0.011009174311926604, 0.02201834862385321)","(0.005741626794258372, 0.011483253588516745)","(0.007142857142857143, 0.014285714285714285)"
ndcg,"(0.016744982799838694, 0.03348996559967739)","(0.06459003503766428, 0.12918007007532856)","(0.06459003503766428, 0.12918007007532856)","(0.016744982799838694, 0.03348996559967739)"
