,Top 50,Top 100,Top 200,Top N
precision,"(0.016, 0.0233238075793812)","(0.016, 0.013564659966250536)","(0.009, 0.0058309518948453)","(0.007462686567164178, 0.005780572158518532)"
recall,"(0.01568627450980392, 0.022866478019001178)","(0.031469663337032924, 0.026561920303157245)","(0.03531581718318678, 0.02286116520351973)","(0.03923738581063775, 0.0303695389332371)"
f1,"(0.01584158415841584, 0.023092878791466535)","(0.021211121522769362, 0.017958558735475486)","(0.014342985469140038, 0.009292262845031062)","(0.01253935817089788, 0.009712755224176568)"
ndcg,"(0.016219000325396145, 0.02395316539947873)","(0.025082200901702913, 0.024618343846394625)","(0.027214427132728942, 0.022743934469468267)","(0.029085168420543445, 0.026311783269381373)"
