,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132711)","(0.008, 0.0074833147735478825)","(0.008, 0.004)","(0.007239819004524887, 0.003619909502262443)"
recall,"(0.011616161616161616, 0.014249228262288773)","(0.023737373737373738, 0.022563947377463308)","(0.0460220986536776, 0.024907707046811427)","(0.0460220986536776, 0.024907707046811427)"
f1,"(0.009470439899131409, 0.011601918112284703)","(0.01196373286156568, 0.011236143645814625)","(0.013625219280161879, 0.006894467637652582)","(0.012506842206652036, 0.0063223740822502695)"
ndcg,"(0.0063563654734255185, 0.007785224147667042)","(0.011685564061759893, 0.011157220308387417)","(0.02110142552835745, 0.012162155284025231)","(0.02110142552835745, 0.012162155284025231)"
