,Top 50,Top 100,Top 200,Top N
precision,"(0.04, 0.08)","(0.08, 0.16)","(0.08, 0.16)","(0.04, 0.08)"
recall,"(0.008, 0.016)","(0.008, 0.016)","(0.004, 0.008)","(0.007407407407407407, 0.014814814814814814)"
f1,"(0.013333333333333332, 0.026666666666666665)","(0.014545454545454545, 0.02909090909090909)","(0.007619047619047618, 0.015238095238095236)","(0.0125, 0.025)"
ndcg,"(0.029752781168114546, 0.0595055623362291)","(0.06338323846189672, 0.12676647692379345)","(0.06338323846189672, 0.12676647692379345)","(0.029752781168114546, 0.0595055623362291)"
