,Top 50,Top 100,Top 200,Top N
precision,"(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0018018018018018018, 0.0036036036036036037)"
f1,"(0.0058823529411764705, 0.011764705882352941)","(0.003389830508474577, 0.006779661016949154)","(0.001834862385321101, 0.0036697247706422025)","(0.0031007751937984496, 0.006201550387596899)"
ndcg,"(0.008042933717837984, 0.016085867435675968)","(0.008042933717837984, 0.016085867435675968)","(0.008042933717837984, 0.016085867435675968)","(0.008042933717837984, 0.016085867435675968)"
