,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.02857142857142857, 0.05714285714285714)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.001, 0.002)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.001932367149758454, 0.003864734299516908)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.05497526658285817, 0.10995053316571635)","(0.0, 0.0)"
