,Top 50,Top 100,Top 200,Top N
precision,"(0.016666666666666666, 0.03333333333333333)","(0.016666666666666666, 0.03333333333333333)","(0.016666666666666666, 0.03333333333333333)","(0.016666666666666666, 0.03333333333333333)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.003333333333333333, 0.006666666666666666)"
f1,"(0.0064516129032258064, 0.012903225806451613)","(0.0035714285714285713, 0.007142857142857143)","(0.0018867924528301887, 0.003773584905660377)","(0.005555555555555555, 0.01111111111111111)"
ndcg,"(0.015192323737346993, 0.030384647474693986)","(0.015192323737346993, 0.030384647474693986)","(0.015192323737346993, 0.030384647474693986)","(0.015192323737346993, 0.030384647474693986)"
