,Top 50,Top 100,Top 200,Top N
precision,"(0.084, 0.029393876913398138)","(0.064, 0.013564659966250536)","(0.047, 0.012489995996796798)","(0.024022346368715086, 0.002310926191059749)"
recall,"(0.020469817286700883, 0.007053487918698562)","(0.031189128146250356, 0.006269354998320781)","(0.04579737781165822, 0.011734495419668764)","(0.12604948775410849, 0.012712786601471186)"
f1,"(0.032916448122634, 0.011373840718148372)","(0.04193747693893275, 0.008576814145412108)","(0.04638829024621806, 0.01210194342434584)","(0.04035281649835158, 0.003906419853217114)"
ndcg,"(0.07260463797143045, 0.027655820948243714)","(0.061735278851569, 0.014522320196840738)","(0.04914687403506286, 0.012145116600366072)","(0.0950966542979989, 0.008593496956510517)"
