,Top 50,Top 100,Top 200,Top N
precision,"(0.021052631578947368, 0.042105263157894736)","(0.021052631578947368, 0.042105263157894736)","(0.042105263157894736, 0.08421052631578947)","(0.042105263157894736, 0.08421052631578947)"
recall,"(0.008, 0.016)","(0.004, 0.008)","(0.004, 0.008)","(0.006299212598425197, 0.012598425196850394)"
f1,"(0.011594202898550725, 0.02318840579710145)","(0.006722689075630253, 0.013445378151260507)","(0.007305936073059361, 0.014611872146118723)","(0.010958904109589041, 0.021917808219178082)"
ndcg,"(0.013003332190250932, 0.026006664380501865)","(0.013003332190250932, 0.026006664380501865)","(0.028208665295822128, 0.05641733059164425)","(0.028208665295822128, 0.05641733059164425)"
