,Top 50,Top 100,Top 200,Top N
precision,"(0.05, 0.1)","(0.05, 0.1)","(0.05, 0.1)","(0.0, 0.0)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0, 0.0)"
f1,"(0.007407407407407407, 0.014814814814814814)","(0.0038461538461538464, 0.007692307692307693)","(0.00196078431372549, 0.00392156862745098)","(0.0, 0.0)"
ndcg,"(0.049260477748146, 0.098520955496292)","(0.049260477748146, 0.098520955496292)","(0.049260477748146, 0.098520955496292)","(0.0, 0.0)"
