,Top 50,Top 100,Top 200,Top N
precision,"(0.010344827586206896, 0.020689655172413793)","(0.010344827586206896, 0.020689655172413793)","(0.013793103448275862, 0.027586206896551724)","(0.020689655172413793, 0.041379310344827586)"
recall,"(0.012, 0.024)","(0.006, 0.012)","(0.004, 0.008)","(0.00404040404040404, 0.00808080808080808)"
f1,"(0.011111111111111112, 0.022222222222222223)","(0.00759493670886076, 0.015189873417721518)","(0.0062015503875969, 0.0124031007751938)","(0.0067605633802816905, 0.013521126760563381)"
ndcg,"(0.009688828252870733, 0.019377656505741466)","(0.008649155625489837, 0.017298311250979675)","(0.011347904130556235, 0.02269580826111247)","(0.017208227659301523, 0.034416455318603045)"
