,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.04247288805467519 +/- 0.012763725265878182,0.051848832569895184 +/- 0.01586930057462755,0.051015512548016465 +/- 0.01072830472625322,0.04533494127853051 +/- 0.009636907615340758
Lymphatic Metastasis,0.0 +/- 0.0,0.021818181818181816 +/- 0.029090909090909087,0.015238095238095236 +/- 0.018662778992633737,0.00975609756097561 +/- 0.008726118936584546
"Condition, Preneoplastic",0.0 +/- 0.0,0.005633802816901409 +/- 0.011267605633802818,0.01014339196157378 +/- 0.01362046299769303,0.016372848469752628 +/- 0.010554654583548151
Alzheimer's Disease,0.02813852813852814 +/- 0.02298860267939698,0.01773739995673805 +/- 0.014485972178592321,0.0135322847087553 +/- 0.006768174036655713,0.016522602101783752 +/- 0.00692426149261734
Ovarian Mucinous Adenocarcinoma,0.026236559139784944 +/- 0.032140286782398976,0.04273638642059695 +/- 0.02642901296209125,0.02260691404052363 +/- 0.014035268607837298,0.013582944102974165 +/- 0.007748297807263676
Female infertility,0.026666666666666665 +/- 0.05333333333333333,0.021688311688311687 +/- 0.029027063520039198,0.022713387241689125 +/- 0.014196822331863023,0.015562396400663033 +/- 0.011683728411459662
Single Seizure,0.017584541062801932 +/- 0.021538743641496074,0.011348088531187123 +/- 0.01389909578747551,0.009972451790633607 +/- 0.008142628127564545,0.0072645002056766755 +/- 0.006800834203728944
Stomach Neoplasms,0.01921973608720597 +/- 0.01801710925043872,0.02959565069656813 +/- 0.030101652777075515,0.030347902237083037 +/- 0.02209596380518728,0.02479422944539224 +/- 0.01861562813214035
Pneumonitis,0.04444444444444444 +/- 0.041573970964154904,0.06568306010928962 +/- 0.046290829900139184,0.05054873054873055 +/- 0.013511120826570586,0.03795080117354999 +/- 0.005995274150082215
Malignant neoplasm of prostate,0.03015639510409738 +/- 0.018213665617624004,0.04211966304269566 +/- 0.017609787412298593,0.04883653707183119 +/- 0.012286124805353814,0.05105181304541321 +/- 0.004590681246146494
Neuroblastoma,0.011428571428571429 +/- 0.022857142857142857,0.020225988700564974 +/- 0.027063031489499487,0.018248540450375314 +/- 0.02305145747215054,0.015283663704716335 +/- 0.012952401985936984
