,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.03577708763999664)","(0.04, 0.03577708763999664)","(0.04, 0.03577708763999664)","(0.04, 0.03577708763999664)"
recall,"(0.09090909090909091, 0.08131156281817417)","(0.09090909090909091, 0.08131156281817417)","(0.09090909090909091, 0.08131156281817417)","(0.09090909090909091, 0.08131156281817417)"
f1,"(0.05555555555555556, 0.04969039949999532)","(0.05555555555555556, 0.04969039949999532)","(0.05555555555555556, 0.04969039949999532)","(0.05555555555555556, 0.04969039949999532)"
ndcg,"(0.07213769050601788, 0.05961360943880736)","(0.07213769050601788, 0.05961360943880736)","(0.07213769050601788, 0.05961360943880736)","(0.07213769050601788, 0.05961360943880736)"
