,Top 25,Top 50,Top 100,Top 200
precision,0.44,0.46,0.46,0.505
recall,0.0036850921273031824,0.007705192629815745,0.01541038525963149,0.0338358458961474
f1,0.007308970099667774,0.015156507413509062,0.029821717990275526,0.06342229199372057
ndcg,0.40101197751190126,0.428554837538079,0.4409349575656006,0.482344495172413
