,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.006, 0.008)","(0.004, 0.0037416573867739412)"
recall,"(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.03222222222222222, 0.04394159985174486)","(0.042222222222222223, 0.04106604136128073)"
f1,"(0.009302325581395349, 0.018604651162790697)","(0.0058823529411764705, 0.011764705882352941)","(0.010112994350282487, 0.013531515744749744)","(0.007306088407005838, 0.006856626203170851)"
ndcg,"(0.01685721111410913, 0.03371442222821826)","(0.01685721111410913, 0.03371442222821826)","(0.02590543976860979, 0.041512374548801835)","(0.029410801332067183, 0.03988497980121813)"
