,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265426)","(0.008, 0.009797958971132713)","(0.004, 0.004898979485566357)","(0.003, 0.002449489742783178)"
recall,"(0.09, 0.11135528725660043)","(0.09, 0.11135528725660043)","(0.09, 0.11135528725660043)","(0.13999999999999999, 0.11575836902790225)"
f1,"(0.027126436781609198, 0.03323091678086005)","(0.014680134680134679, 0.017980680693094827)","(0.007655677655677656, 0.009376430821502496)","(0.005872788139646102, 0.004795143234587089)"
ndcg,"(0.10068669034999475, 0.15131993061899285)","(0.10068669034999475, 0.15131993061899285)","(0.10068669034999475, 0.15131993061899285)","(0.11124846760239415, 0.14566078801770263)"
