,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.01, 0.02)","(0.01, 0.02)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.003333333333333333, 0.006666666666666666)","(0.0018181818181818182, 0.0036363636363636364)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.004314072847585745, 0.00862814569517149)","(0.004314072847585745, 0.00862814569517149)"
