,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.004, 0.008)","(0.006, 0.012)","(0.005, 0.005477225575051661)"
recall,"(0.0, 0.0)","(0.0064516129032258064, 0.012903225806451615)","(0.01935483870967742, 0.038709677419354833)","(0.034169653524492236, 0.03541441133772287)"
f1,"(0.0, 0.0)","(0.0049382716049382715, 0.009876543209876543)","(0.00916030534351145, 0.0183206106870229)","(0.008719034269695062, 0.0094846677798701)"
ndcg,"(0.0, 0.0)","(0.003785339663111352, 0.007570679326222703)","(0.010699174909795344, 0.021398349819590688)","(0.016458341442858862, 0.019607740920859863)"
