,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265423)","(0.016, 0.014966629547095765)","(0.013999999999999999, 0.010198039027185569)","(0.009000000000000001, 0.004898979485566356)"
recall,"(0.05, 0.0408248290463863)","(0.06666666666666667, 0.06236095644623235)","(0.11666666666666667, 0.08498365855987976)","(0.14999999999999997, 0.0816496580927726)"
f1,"(0.032432432432432434, 0.026480970192250573)","(0.025806451612903226, 0.024139725075960912)","(0.025, 0.018210783977117086)","(0.016981132075471698, 0.00924335751993652)"
ndcg,"(0.05200562890492526, 0.04824244915463703)","(0.059384831791485314, 0.05038615146160372)","(0.078335943612322, 0.05726930086643757)","(0.08926727218965241, 0.054476756348871065)"
