,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.032)","(0.012, 0.016)","(0.014000000000000002, 0.011999999999999999)","(0.011, 0.0066332495807108)"
recall,"(0.023692307692307693, 0.031851727494418544)","(0.023692307692307693, 0.031851727494418544)","(0.05476923076923077, 0.04740459119402033)","(0.08754515050167225, 0.05143241897428837)"
f1,"(0.02384313725490196, 0.03192301389029647)","(0.01592982456140351, 0.021298679148164287)","(0.0222984126984127, 0.019149543174167095)","(0.019540246306070347, 0.011747699357962037)"
ndcg,"(0.021668183384278998, 0.028669391115471538)","(0.02112191238976903, 0.0279466144747677)","(0.03695105744834472, 0.03421189572555734)","(0.05001481805782591, 0.033989100636905765)"
