,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.032)","(0.024, 0.019595917942265423)","(0.014000000000000002, 0.010198039027185569)","(0.007000000000000001, 0.005099019513592784)"
recall,"(0.029523809523809525, 0.03977259622442115)","(0.058138528138528135, 0.0493980178229804)","(0.06722943722943722, 0.050399650894174655)","(0.06722943722943722, 0.050399650894174655)"
f1,"(0.02647342995169082, 0.035460911632691564)","(0.03396601833221551, 0.028060928053241996)","(0.02316894729711421, 0.01695517628417764)","(0.012678058560411504, 0.009258310774014785)"
ndcg,"(0.023433683273545038, 0.030525910843197217)","(0.03925583648516766, 0.03476765038886746)","(0.043572283135383735, 0.0341686674070069)","(0.043572283135383735, 0.0341686674070069)"
