,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.004)","(0.002, 0.0024494897427831783)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.013333333333333332, 0.026666666666666665)","(0.02761904761904762, 0.033859788256440336)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0034782608695652175, 0.006956521739130435)","(0.003729623994783743, 0.004567858542846314)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.005686973942620159, 0.011373947885240317)","(0.010829581128980994, 0.013291372354165415)"
