,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.012, 0.016)","(0.014000000000000002, 0.010198039027185569)","(0.01, 0.004472135954999579)"
recall,"(0.042222222222222223, 0.051830683509736006)","(0.06444444444444444, 0.08788319970348972)","(0.14666666666666667, 0.1040892304767144)","(0.2111111111111111, 0.09269623828717427)"
f1,"(0.02319327731092437, 0.028410818970239247)","(0.020225988700564974, 0.027063031489499487)","(0.02555462885738115, 0.018568520836661037)","(0.019093187514240145, 0.008528683615739347)"
ndcg,"(0.021829520461645747, 0.02675963301861431)","(0.031069707830040105, 0.04118088217485457)","(0.05998997053306963, 0.04124222553007078)","(0.07998906392519603, 0.04019401052570316)"
