,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.032)","(0.02, 0.02190890230020664)","(0.01, 0.01095445115010332)","(0.007000000000000001, 0.006782329983125268)"
recall,"(0.031052631578947366, 0.04185451653067588)","(0.05334365325077399, 0.05772907209405043)","(0.05334365325077399, 0.05772907209405043)","(0.07439628482972135, 0.0712426618993337)"
f1,"(0.027070707070707068, 0.03626473644010808)","(0.02907573931584314, 0.03175480175520388)","(0.01683617036558213, 0.018411373567559824)","(0.012793919881856252, 0.012385369363707306)"
ndcg,"(0.031152492786589252, 0.04730015864360986)","(0.04153300868812456, 0.055344920840131616)","(0.04153300868812456, 0.055344920840131616)","(0.04912775086804481, 0.0599320671139453)"
