,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.03577708763999664)","(0.024, 0.014966629547095765)","(0.018, 0.0074833147735478825)","(0.009, 0.0037416573867739412)"
recall,"(0.07414141414141415, 0.07271492600022392)","(0.08525252525252525, 0.06429386162606467)","(0.123982683982684, 0.05785060273441866)","(0.123982683982684, 0.05785060273441866)"
f1,"(0.05152454780361757, 0.04740277504759901)","(0.0371871522884059, 0.024093916056362904)","(0.03132025327115115, 0.013115469046320013)","(0.016746610577617983, 0.006987408068157788)"
ndcg,"(0.041109318918786095, 0.03778484227033074)","(0.04670976489649279, 0.03305591091500373)","(0.06178784317145573, 0.02979855904262251)","(0.06178784317145573, 0.02979855904262251)"
