,Top 50,Top 100,Top 200,Top N
precision,"(0.00847457627118644, 0.01694915254237288)","(0.011864406779661017, 0.023728813559322035)","(0.01864406779661017, 0.03728813559322034)","(0.022033898305084745, 0.04406779661016949)"
recall,"(0.02, 0.04)","(0.014000000000000002, 0.028000000000000004)","(0.011, 0.022)","(0.0042207792207792205, 0.008441558441558441)"
f1,"(0.011904761904761904, 0.023809523809523808)","(0.012844036697247707, 0.025688073394495414)","(0.013836477987421384, 0.027672955974842768)","(0.007084468664850135, 0.01416893732970027)"
ndcg,"(0.01244342873586631, 0.02488685747173262)","(0.010918188246883597, 0.021836376493767195)","(0.01458513473696249, 0.02917026947392498)","(0.01702452275957091, 0.03404904551914182)"
