,Top 50,Top 100,Top 200,Top N
precision,"(0.005555555555555555, 0.01111111111111111)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)","(0.01111111111111111, 0.02222222222222222)"
recall,"(0.004, 0.008)","(0.004, 0.008)","(0.002, 0.004)","(0.0018099547511312218, 0.003619909502262443)"
f1,"(0.004651162790697674, 0.009302325581395349)","(0.0058823529411764705, 0.011764705882352941)","(0.003389830508474577, 0.006779661016949154)","(0.0031128404669260707, 0.006225680933852141)"
ndcg,"(0.0031166650010553197, 0.006233330002110639)","(0.007254158136593351, 0.014508316273186703)","(0.007254158136593351, 0.014508316273186703)","(0.007254158136593351, 0.014508316273186703)"
