,Top 50,Top 100,Top 200,Top N
precision,"(0.0125, 0.025)","(0.0125, 0.025)","(0.0125, 0.025)","(0.0125, 0.025)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.0024390243902439024, 0.004878048780487805)"
f1,"(0.006060606060606061, 0.012121212121212121)","(0.0034482758620689663, 0.006896551724137933)","(0.0018518518518518517, 0.0037037037037037034)","(0.004081632653061225, 0.00816326530612245)"
ndcg,"(0.011667450778667234, 0.02333490155733447)","(0.011667450778667234, 0.02333490155733447)","(0.011667450778667234, 0.02333490155733447)","(0.011667450778667234, 0.02333490155733447)"
