,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.00909090909090909, 0.01818181818181818)","(0.00909090909090909, 0.01818181818181818)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.001, 0.002)","(0.0018181818181818182, 0.0036363636363636364)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0018018018018018018, 0.0036036036036036037)","(0.00303030303030303, 0.00606060606060606)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.006407320868687449, 0.012814641737374899)","(0.006407320868687449, 0.012814641737374899)"
