,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.01818181818181818, 0.03636363636363636)","(0.02727272727272727, 0.05454545454545454)","(0.01818181818181818, 0.03636363636363636)"
recall,"(0.0, 0.0)","(0.004, 0.008)","(0.003, 0.006)","(0.0034482758620689655, 0.006896551724137931)"
f1,"(0.0, 0.0)","(0.006557377049180327, 0.013114754098360654)","(0.005405405405405404, 0.010810810810810808)","(0.0057971014492753615, 0.011594202898550723)"
ndcg,"(0.0, 0.0)","(0.014831043321101977, 0.029662086642203954)","(0.026012101969564605, 0.05202420393912921)","(0.014831043321101977, 0.029662086642203954)"
