,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265423)","(0.012, 0.009797958971132711)","(0.01, 0.006324555320336759)","(0.01, 0.006324555320336759)"
recall,"(0.034055727554179564, 0.027898155606362378)","(0.034055727554179564, 0.027898155606362378)","(0.054582043343653255, 0.03348059245904583)","(0.10863777089783282, 0.06785572594668057)"
f1,"(0.02813852813852814, 0.02298860267939698)","(0.01773739995673805, 0.014485972178592321)","(0.016893629246570424, 0.010630886916771673)","(0.018307269398740895, 0.011559292764000107)"
ndcg,"(0.04081255595226986, 0.03642128346579295)","(0.04081255595226986, 0.03642128346579295)","(0.05032249376278951, 0.0331038534460805)","(0.06959033852287295, 0.041131382887167015)"
