,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.012, 0.016)","(0.008, 0.009797958971132713)","(0.005, 0.00447213595499958)"
recall,"(0.0, 0.0)","(0.12000000000000002, 0.16)","(0.16, 0.19595917942265426)","(0.2, 0.1788854381999832)"
f1,"(0.0, 0.0)","(0.021818181818181816, 0.029090909090909087)","(0.015238095238095236, 0.018662778992633737)","(0.00975609756097561, 0.008726118936584546)"
ndcg,"(0.0, 0.0)","(0.04149242979182649, 0.05515932536216738)","(0.05312166348044365, 0.06513254416356802)","(0.062147042688537525, 0.06007655012121785)"
