,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.012, 0.016)","(0.008, 0.0074833147735478825)","(0.009, 0.0058309518948453)"
recall,"(0.0, 0.0)","(0.09714285714285714, 0.12202375145178641)","(0.13047619047619047, 0.11339334145628355)","(0.29714285714285715, 0.1898226884785496)"
f1,"(0.0, 0.0)","(0.02130781499202552, 0.02820209684801735)","(0.015059744229202875, 0.014016653319398375)","(0.017466439248605234, 0.01131261115817658)"
ndcg,"(0.0, 0.0)","(0.03376306605029783, 0.04338698552194486)","(0.042852666591906036, 0.03998910223787461)","(0.08487136721686636, 0.04847471474766061)"
