,Top 25,Top 50,Top 100,Top 200
precision,"(0.12, 0.0)","(0.064, 0.008)","(0.034, 0.004898979485566357)","(0.017, 0.0024494897427831783)"
recall,"(0.75, 0.0)","(0.8, 0.09999999999999999)","(0.85, 0.1224744871391589)","(0.85, 0.1224744871391589)"
f1,"(0.20689655172413796, 2.7755575615628914e-17)","(0.11851851851851851, 0.014814814814814815)","(0.06538461538461539, 0.00942111439531992)","(0.03333333333333334, 0.004802921064280741)"
ndcg,"(0.7705421075620638, 0.027271565094036235)","(0.7856440693848442, 0.016406594595631173)","(0.7982178025946937, 0.03719603986333551)","(0.7982178025946937, 0.03719603986333551)"
