,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.008, 0.009797958971132711)","(0.004, 0.004898979485566356)","(0.004, 0.0037416573867739412)"
recall,"(0.02857142857142857, 0.05714285714285714)","(0.05714285714285714, 0.06998542122237653)","(0.05714285714285714, 0.06998542122237653)","(0.11428571428571428, 0.10690449676496976)"
f1,"(0.0125, 0.025000000000000005)","(0.014035087719298248, 0.017189401703741603)","(0.007476635514018691, 0.009156971001058608)","(0.007729468599033816, 0.007230255819853027)"
ndcg,"(0.05497526658285817, 0.10995053316571636)","(0.06617895362492489, 0.106580292704958)","(0.06617895362492489, 0.106580292704958)","(0.08120268340533446, 0.10288158653090951)"
