,Top 25,Top 50,Top 100,Top 200
precision,"(0.064, 0.032)","(0.036000000000000004, 0.019595917942265423)","(0.022, 0.0074833147735478825)","(0.012, 0.005099019513592784)"
recall,"(0.27999999999999997, 0.14236104336041747)","(0.3133333333333333, 0.16812693617224658)","(0.38, 0.1240071682515885)","(0.4133333333333333, 0.16679994670929071)"
f1,"(0.10408602150537634, 0.052069663485321487)","(0.06454545454545454, 0.03504953966983922)","(0.04158131176999101, 0.014100971392765255)","(0.023319914752545582, 0.00989364811935814)"
ndcg,"(0.19845269079280842, 0.1389819843705817)","(0.2091759411140003, 0.15318250783064916)","(0.22836463819127858, 0.1510616573707896)","(0.23635157994595962, 0.16186738397024517)"
