,Top 25,Top 50,Top 100,Top 200
precision,"(0.14400000000000002, 0.04079215610874228)","(0.07999999999999999, 0.021908902300206645)","(0.041999999999999996, 0.011661903789690602)","(0.023, 0.008124038404635962)"
recall,"(0.4, 0.11331154474650634)","(0.4444444444444445, 0.12171612389003693)","(0.4666666666666667, 0.12957670877434005)","(0.5111111111111112, 0.18053418676968802)"
f1,"(0.21176470588235294, 0.05998846486579747)","(0.13559322033898308, 0.03713373271221465)","(0.07706422018348624, 0.021397988604936878)","(0.04401913875598086, 0.015548398860547293)"
ndcg,"(0.48994288201366915, 0.13030688930895143)","(0.5085848913586429, 0.12124788427155525)","(0.5161319259118601, 0.12647119072508817)","(0.529190691076236, 0.1405241603947781)"
