,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.004, 0.004898979485566356)","(0.005, 0.00447213595499958)"
recall,"(0.013333333333333332, 0.026666666666666665)","(0.013333333333333332, 0.026666666666666665)","(0.026666666666666665, 0.032659863237109045)","(0.06857142857142857, 0.06183879268856352)"
f1,"(0.01, 0.02)","(0.006153846153846154, 0.012307692307692306)","(0.006956521739130435, 0.008519964322724099)","(0.009319713105846556, 0.008339742628453902)"
ndcg,"(0.03412184365572095, 0.06824368731144188)","(0.03412184365572095, 0.06824368731144188)","(0.03937794590409323, 0.06640038782212307)","(0.0539630895805317, 0.06239945810558956)"
