,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.004, 0.004898979485566357)","(0.003, 0.002449489742783178)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.05714285714285714, 0.06998542122237653)","(0.08571428571428572, 0.06998542122237651)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.007476635514018691, 0.009156971001058608)","(0.0057971014492753615, 0.004733313512624499)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.01855423977106781, 0.022753813334346215)","(0.025795013912167118, 0.02141861673450723)"
