,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.025298221281347035)","(0.02, 0.012649110640673518)","(0.01, 0.006324555320336759)","(0.005, 0.0031622776601683794)"
recall,"(0.22000000000000003, 0.12884098726725127)","(0.22000000000000003, 0.12884098726725127)","(0.22000000000000003, 0.12884098726725127)","(0.22000000000000003, 0.12884098726725127)"
f1,"(0.06758620689655173, 0.04217874001353458)","(0.03663299663299663, 0.023000748950127155)","(0.01912087912087912, 0.012047106171640933)","(0.009775227164036346, 0.0061703423535716066)"
ndcg,"(0.18917401676152212, 0.12770943466110604)","(0.18917401676152212, 0.12770943466110604)","(0.18917401676152212, 0.12770943466110604)","(0.18917401676152212, 0.12770943466110604)"
