,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.02993325909419153)","(0.02, 0.012649110640673518)","(0.012, 0.0074833147735478825)","(0.009, 0.0058309518948453)"
recall,"(0.1, 0.09354143466934854)","(0.125, 0.07905694150420949)","(0.15, 0.09354143466934854)","(0.225, 0.14577379737113252)"
f1,"(0.048484848484848485, 0.04535342286998717)","(0.03448275862068966, 0.021808811449437103)","(0.02222222222222222, 0.013857990321384968)","(0.01730769230769231, 0.011213369028548654)"
ndcg,"(0.14014230521818652, 0.13038999234573342)","(0.1502600133288928, 0.12072772795532924)","(0.15833249836169588, 0.12021554442197321)","(0.17985291883836224, 0.12052091777615248)"
