,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.003, 0.0024494897427831783)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0869047619047619, 0.07217860186297198)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0057971916456509105, 0.004733479214484146)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.022521244112895418, 0.01840998487582803)"
