,Top 25,Top 50,Top 100,Top 200
precision,0.08,0.06,0.03,0.035
recall,0.02702702702702703,0.04054054054054054,0.04054054054054054,0.0945945945945946
f1,0.0404040404040404,0.04838709677419355,0.034482758620689655,0.051094890510948905
ndcg,0.09097808601263768,0.07131825526913275,0.05240889323534471,0.08401435670693978
