,Top 50,Top 100,Top 200,Top N
precision,0.24,0.15,0.145,0.13761467889908258
recall,0.040955631399317405,0.051194539249146756,0.09897610921501707,0.051194539249146756
f1,0.06997084548104957,0.07633587786259541,0.11764705882352941,0.0746268656716418
ndcg,0.2261932778029767,0.16334359871386236,0.15436443394773547,0.15353388580199764
