,Top 25,Top 50,Top 100,Top 200
precision,"(0.04, 0.025298221281347035)","(0.032, 0.027129319932501072)","(0.018, 0.0132664991614216)","(0.012, 0.00812403840463596)"
recall,"(0.04775575301891092, 0.030230942955905813)","(0.07732968785600365, 0.06571809466763044)","(0.08642059694691274, 0.06379575562274856)","(0.11412622465254044, 0.07681823114159968)"
f1,"(0.043503490034479855, 0.027518475108215323)","(0.04524052527726747, 0.03838285146504197)","(0.02978189514526851, 0.021954809211047466)","(0.021711750801194796, 0.014691310775850435)"
ndcg,"(0.057352164463116084, 0.04917039116731365)","(0.0727817389991248, 0.0654456473143441)","(0.07711210727367548, 0.0631760224309904)","(0.08854526956459113, 0.0631024670693844)"
