,Top 25,Top 50,Top 100,Top 200
precision,"(0.024, 0.019595917942265423)","(0.027999999999999997, 0.009797958971132711)","(0.034, 0.008)","(0.019000000000000003, 0.003741657386773942)"
recall,"(0.026119894598155467, 0.02136043778923391)","(0.06133069828722003, 0.02120598279417864)","(0.149901185770751, 0.038852468223439594)","(0.1673254281949934, 0.03612752968193805)"
f1,"(0.02500723693732812, 0.020425710427285595)","(0.03843638158706651, 0.01337391524231619)","(0.055419122673511234, 0.01327641518466327)","(0.03412140519763838, 0.0067772863244446105)"
ndcg,"(0.028367280794954243, 0.02367315968227354)","(0.0485738864902238, 0.02427456698334597)","(0.08944297077421663, 0.02983612918845442)","(0.09636331174414978, 0.028181266047028586)"
