,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.002, 0.004)","(0.002, 0.0024494897427831783)","(0.005714285714285714, 0.011428571428571429)"
recall,"(0.02857142857142857, 0.05714285714285714)","(0.02857142857142857, 0.05714285714285714)","(0.05714285714285714, 0.06998542122237653)","(0.02857142857142857, 0.05714285714285714)"
f1,"(0.007017543859649124, 0.014035087719298248)","(0.0037383177570093455, 0.00747663551401869)","(0.003864734299516908, 0.004733313512624499)","(0.009523809523809521, 0.019047619047619042)"
ndcg,"(0.021267336206045973, 0.042534672412091946)","(0.021267336206045973, 0.042534672412091946)","(0.02908362516959061, 0.04148629363184754)","(0.021267336206045973, 0.042534672412091946)"
