,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.0024494897427831783)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.1, 0.12247448713915891)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.00392156862745098, 0.004802921064280741)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.021464949997494376, 0.026298205880663603)","(0.0, 0.0)"
