,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.004545454545454545, 0.00909090909090909)"
recall,"(0.02222222222222222, 0.04444444444444444)","(0.02222222222222222, 0.04444444444444444)","(0.02222222222222222, 0.04444444444444444)","(0.02222222222222222, 0.04444444444444444)"
f1,"(0.006779661016949154, 0.01355932203389831)","(0.003669724770642202, 0.007339449541284405)","(0.0019138755980861242, 0.003827751196172249)","(0.007547169811320755, 0.015094339622641508)"
ndcg,"(0.011500804217346025, 0.02300160843469205)","(0.011500804217346025, 0.02300160843469205)","(0.011500804217346025, 0.02300160843469205)","(0.011500804217346025, 0.02300160843469205)"
