,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.008, 0.009797958971132711)","(0.008, 0.0074833147735478825)","(0.006, 0.0058309518948453)"
recall,"(0.007142857142857143, 0.014285714285714285)","(0.014039408866995073, 0.01719910369467595)","(0.02784893267651888, 0.02654956614871129)","(0.04118226600985222, 0.039525197760133045)"
f1,"(0.007547169811320756, 0.015094339622641513)","(0.010191496267445635, 0.01248240476907177)","(0.012427698270721526, 0.011673736668727504)","(0.010472888125002081, 0.010160566713203346)"
ndcg,"(0.00589816479074674, 0.01179632958149348)","(0.008763023962082717, 0.010919042670760092)","(0.015253064282602879, 0.01528989016533837)","(0.021007318770604546, 0.01935933348966921)"
