Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,29,28,29,22,19,20,20,13
pdiamond,23,27,31,32,16,15,21,28
heat_diffusion,27,24,19,25,44,44,38,38
