Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,37,41,38,36,20,25,26,21
pdiamond,20,19,24,24,15,11,18,27
heat_diffusion,8,13,13,17,6,10,8,7
