Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,38,41,44,34,30,30,29,24
pdiamond,18,19,19,16,6,6,14,24
heat_diffusion,9,13,10,19,5,10,9,7
