Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,23,17,13,3,16,18,17,9
pdiamond,24,24,17,17,15,16,21,25
heat_diffusion,32,38,49,59,48,45,41,45
