,number_of_disease_genes,number_of_connected_components,percentage_of_connected_components,LCC_size,density,density_of_LCC,percentage_of_disease_genes_in_LCC,longest_path_length_in_LCC,longest_path_lenght_in_interactome,average_path_length,diameter_of_LCC,average_degree,clustering_coefficient,modularity,global_efficency,assortativity,community,node_connectivity,edge_connectivity,spectral_radius,spectral_gap,natural_connectivity,algebraic_connectivity,num_spanning_trees
"Condition, Preneoplastic",120,14,0.11666666666666667,107,0.07492997198879552,0.09433962264150944,0.8916666666666667,test,test,2.0457943925233644,5,8.916666666666666,0.3464342978042512,0.0037103677177047177,0.381993464052279,-0.28586207356501697,5,0,0,18.04,10.9,13.27,0.69,0.0
Anaplastic carcinoma,185,20,0.10810810810810811,164,0.07467685076380728,0.09494239114170283,0.8864864864864865,test,test,2.107910349373764,6,13.740540540540541,0.3156856108214523,0.004710478439014456,0.37316882099496046,-0.18572941320964284,8,0,0,30.02,20.15,24.8,0.38,-0.0
"Alcoholic Intoxication, Chronic",280,69,0.24642857142857144,207,0.017025089605734768,0.030955396088363587,0.7392857142857143,test,test,2.276828847481021,8,4.75,0.16263749529094476,0.07293798405788907,0.19932646356040304,-0.07939561779136331,12,0,0,19.09,11.07,13.46,0.26,0.0
Lymphatic Metastasis,49,5,0.10204081632653061,45,0.20918367346938777,0.24848484848484848,0.9183673469387755,test,test,1.7433106575963715,4,10.040816326530612,0.4803556604377872,1.1102230246251565e-16,0.49950396825396776,-0.19717490693218742,3,0,0,16.37,11.18,12.47,-0.0,-0.0
Mouth Neoplasms,78,13,0.16666666666666666,65,0.13752913752913754,0.19807692307692307,0.8333333333333334,test,test,1.6668639053254435,4,10.58974358974359,0.3770379733120369,0.004830889552028808,0.3909978909978901,-0.129149983176981,5,0,0,19.13,12.43,14.78,-0.0,-0.0
Crohn's disease of the ileum,68,19,0.27941176470588236,48,0.07418788410886742,0.14804964539007093,0.7058823529411765,test,test,1.659313725490196,5,4.970588235294118,0.2879249141507837,0.2116172402927069,0.24784899034240662,-0.06818402283182087,6,0,0,11.01,4.89,6.8,-0.0,0.0
Stomach Neoplasms,316,32,0.10126582278481013,285,0.03914004420333534,0.04813442055843835,0.9018987341772152,test,test,2.3310681767710415,6,12.329113924050633,0.24066803212052515,0.005106195371233245,0.34627252025974997,-0.1316204103198141,7,0,0,31.02,17.95,25.27,0.38,-0.0
Ischemia,53,10,0.18867924528301888,44,0.11901306240928883,0.1733615221987315,0.8301886792452831,test,test,1.7778730703259007,4,6.188679245283019,0.309721379865664,0.0,0.36314707305273664,-0.1941078226480417,4,0,0,11.93,6.46,7.96,-0.0,-0.0
