Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,33,35,36,29,20,22,25,18
pdiamond,22,24,26,31,15,14,18,27
heat_diffusion,10,14,13,17,6,10,9,10
